,RT,m/z,Metabolite,HMDB (*Representative ID),Pooled QC sample CV,Method,Intercept,diagnosis[T.UC],diagnosis[T.nonIBD],chemical_name
C18n_QI10987,10.34,526.3171,,,0.032640027,C18-neg,4.434293946718776,1.3394333504478766,-5.153906039700155,C18n_QI10987
C18n_QI11074,10.34,529.3255,,,0.048119958,C18-neg,-0.2847717194799557,1.1970751665870978,-0.9075874609800624,C18n_QI11074
C18n_QI12274,10.34,588.2635,,,0.06930617900000001,C18-neg,0.22050877520998569,1.1492956064979865,-3.502015285000448,C18n_QI12274
C18n_QI3034,10.35,271.6333,,,0.08877110099999999,C18-neg,-1.2029216676000731,0.8301210783760382,-6.476579360470418,C18n_QI3034
C18n_QI12808,10.35,626.2425,,,0.241929258,C18-neg,-1.1808021455053463,0.8914504431526495,-4.027928523525839,C18n_QI12808
C18n_QI12950,10.35,639.4109,,,0.131293244,C18-neg,-0.3831193833593503,-0.4818825341422723,-0.7263192458006191,C18n_QI12950
C18n_QI11766,10.36,558.3072,,,0.069079306,C18-neg,-0.6239040284399167,1.174092330817443,-2.067447833523397,C18n_QI11766
C18n_QI3434,10.37,285.186,,,0.052854961,C18-neg,-0.6723068146947995,0.4023373507301642,0.6515088753846836,C18n_QI3434
C18n_QI10032,10.38,493.3174,,,0.024198499,C18-neg,-0.21167162945310025,0.4058926485817267,1.0284779148248386,C18n_QI10032
C18n_QI4353,10.39,315.2542,,,0.023345076,C18-neg,1.0048415274377689,0.3645742319862677,0.5292151646760654,C18n_QI4353
C18n_QI6879,10.39,395.1895,,,0.033150509,C18-neg,-0.4169633774999753,0.10227898586200013,0.7037944274095249,C18n_QI6879
C18n_QI10850,10.39,521.3483,,,0.018012845,C18-neg,0.3798095793481693,0.41447643268512013,0.976373680129404,C18n_QI10850
C18n_QI11348,10.39,540.2967,,,0.058545863,C18-neg,0.6321289152856693,1.2199457072059925,-2.0682439131590176,C18n_QI11348
C18n_QI13394,10.39,707.5465,,,0.04197929,C18-neg,-0.21018771221677213,-0.024842462654845576,0.9963018970636082,C18n_QI13394
C18n_QI9475,10.4,477.3223,,,0.017602014,C18-neg,0.5318710417505129,0.19645337093279916,0.844183750644083,C18n_QI9475
C18n_QI11409,10.4,542.312,,,0.02571246,C18-neg,1.7642581076379642,1.2943972729484852,-3.456935100063925,C18n_QI11409
C18n_QI13869,10.4,827.6416,,,0.031631509,C18-neg,0.8503057570215091,0.04654387462542786,0.7174093203691196,C18n_QI13869
C18n_QI3203,10.41,277.1808,,,0.048160685,C18-neg,-1.0300691514257565,0.5860331438820197,0.3793274836686802,C18n_QI3203
C18n_QI6278,10.41,377.2333,,,0.061440198,C18-neg,-1.5671308427099362,0.3641467474739368,0.9436363058236791,C18n_QI6278
C18n_QI7858,10.41,425.2911,,,0.044053608,C18-neg,-1.0089090256933346,0.4262373827736212,1.1076765732911775,C18n_QI7858
C18n_QI10350,10.41,504.3693,,,0.06566809,C18-neg,-0.8428190140966549,-1.1013366795737909,-1.8362218661161709,C18n_QI10350
C18n_QI10598,10.41,513.3433,,,0.05266138099999999,C18-neg,-0.5404575257543698,-0.11857505809857295,0.4938774781373692,C18n_QI10598
C18n_QI8580,10.42,449.2443,,,0.116486609,C18-neg,-0.2553670792822018,0.43517140376971497,0.6564061122087193,C18n_QI8580
C18n_QI8468,10.43,446.2373,,,0.033538562,C18-neg,-0.9489114670995846,-0.0737056351859735,0.09046871234452247,C18n_QI8468
C18n_QI9829,10.43,487.2732,,,0.033510318,C18-neg,0.4228484244104251,0.3606036089699085,0.37517017890488624,C18n_QI9829
C18n_QI7110,10.44,401.2656,,,0.056152043,C18-neg,-1.4832961945776117,-0.10117932331158386,0.8124031500962925,C18n_QI7110
C18n_QI9384,10.44,474.2628,,,0.042355410999999996,C18-neg,-0.15887431194821744,0.4435730360786749,0.4028411584047032,C18n_QI9384
C18n_QI12102,10.44,577.3639,,,0.060503138,C18-neg,-0.7889583497289792,-0.7145168400962518,-0.4732980055662441,C18n_QI12102
C18n_QI12390,10.44,595.3849,,,0.115322605,C18-neg,-0.8082950501684323,-1.7582859612662958,-3.2032725138517666,C18n_QI12390
C18n_QI8902,10.45,459.2731,,,0.028076083999999998,C18-neg,1.2135092825647218,0.7044586323540045,0.7799497323182774,C18n_QI8902
C18n_QI11535,10.45,549.2889,,,0.034028024,C18-neg,0.056523522829614585,0.3987331770698841,0.7454299407151891,C18n_QI11535
C18n_QI11001,10.46,527.2605,,,0.065799175,C18-neg,-0.8874071030859128,0.5974908255379034,0.6060800032762241,C18n_QI11001
C18n_QI9756,10.47,485.3044,,,0.13767796300000001,C18-neg,-0.9678151993993892,0.6962684773247059,0.2770276742128086,C18n_QI9756
C18n_QI11560,10.47,549.3798,,,0.032890731,C18-neg,-0.9499080567602292,0.37530759799884095,1.0453050809053137,C18n_QI11560
C18n_QI11944,10.47,567.3903,,,0.062426494000000006,C18-neg,-1.4502265839819088,0.1864638708870245,0.9021151738313388,C18n_QI11944
C18n_QI13925,10.47,841.6208,,,0.03689341,C18-neg,0.8908321470971927,-0.3029768086631464,0.4919751362947178,C18n_QI13925
C18n_QI7420,10.48,411.3343,,,0.040277466,C18-neg,-0.7981012254003659,-0.601203165169494,-0.9381458086820889,C18n_QI7420
C18n_QI9315,10.48,471.3245,,,0.11082311800000001,C18-neg,-0.8092000870947018,0.4367981337349249,0.7091987805513096,C18n_QI9315
C18n_QI9421,10.48,475.3064,,,0.033335684,C18-neg,-1.0188501267675534,0.4060454748909308,0.9485462980416964,C18n_QI9421
C18n_QI9627,10.48,481.3536,,,0.02055344,C18-neg,1.7066747755761966,0.6166880511085804,0.5816573577073765,C18n_QI9627
C18n_QI11612,10.48,551.3954,,,0.050658074000000004,C18-neg,-0.9979722886327878,-0.2034968949515985,0.5351389126924229,C18n_QI11612
C18n_QI6280,10.49,377.2335,,,0.043388043,C18-neg,-1.0761068253759518,-0.28718062412335144,-0.06321542690718651,C18n_QI6280
C18n_QI11299,10.49,538.3534,,,0.033744127,C18-neg,0.3655573935266361,-0.4658338643272089,-0.3928403181883144,C18n_QI11299
C18n_QI11808,10.49,562.3149,,,0.027820627,C18-neg,0.07678528735598178,0.3640010737221076,0.4316099362519932,C18n_QI11808
C18n_QI10524,10.5,511.2737,,,0.045234158,C18-neg,-0.9517524628881588,-0.3852445698936151,-0.08374636600935936,C18n_QI10524
C18n_QI9562,10.51,479.3383,,,0.023889437000000003,C18-neg,-0.047147551083959634,0.3520782374183966,0.7844902949479771,C18n_QI9562
C18n_QI11600,10.52,551.3051,,,0.04067615,C18-neg,-1.0496223359350338,0.8664445065300299,0.612037606730814,C18n_QI11600
C18n_QI8525,10.53,447.31199999999995,,,0.022140835,C18-neg,-0.3418376832250729,0.1960566424171759,0.2294631676820469,C18n_QI8525
C18n_QI9777,10.53,485.3274,,,0.018497273999999998,C18-neg,1.023890218233667,0.5784223459999396,1.0674745516923618,C18n_QI9777
C18n_QI11637,10.53,553.3172,,,0.026343923999999998,C18-neg,-0.2699087052587643,0.3783469580452259,0.7722277121690464,C18n_QI11637
C18n_QI3664,10.54,293.2125,,,0.023580288999999997,C18-neg,-0.2296264558080807,0.2689059160988165,0.6054312663224888,C18n_QI3664
C18n_QI7199,10.54,405.2417,,,0.08883817,C18-neg,-1.0969913392309325,0.09329227435992493,0.5538150744584751,C18n_QI7199
C18n_QI7566,10.54,415.2704,,,0.020254698,C18-neg,0.5260002226587162,0.3818328760902697,0.6928562598375034,C18n_QI7566
C18n_QI8120,10.54,433.3324,,,0.019921526999999998,C18-neg,0.3385521979089603,-0.033898553963439326,0.3318964915422153,C18n_QI8120
C18n_QI10386,10.54,505.3541,,,0.02570683,C18-neg,-0.7405441193822995,0.26358274448321595,1.0318127350953772,C18n_QI10386
C18n_QI7291,10.55,408.2523,,,0.025123202,C18-neg,-0.9685323624853268,0.13696388233111634,1.476485289826746,C18n_QI7291
C18n_QI13926,10.55,841.6210000000001,,,0.054312577,C18-neg,-0.09675673534909636,-0.5819468117911999,0.3987833933976841,C18n_QI13926
C18n_QI8611,10.56,449.3277,,,0.017665271,C18-neg,2.3462917418237548,0.6290622137825324,0.5969660954621983,C18n_QI8611
C18n_QI9757,10.56,485.3049,,,0.143104106,C18-neg,-0.4866121201757565,0.7089825056831671,0.4330394940522861,C18n_QI9757
C18n_QI10112,10.56,496.3365,,,0.031038403,C18-neg,-1.4587581544164792,0.4083543204109503,0.5246442036775303,C18n_QI10112
C18n_QI10702,10.56,517.3148,,,0.024788027999999997,C18-neg,0.2175685972925052,0.6142013453285529,0.4906610922959995,C18n_QI10702
C18n_QI8626,10.58,450.2866,,,0.029454422,C18-neg,-0.9132888703588621,0.7928053520958258,-2.3248731417509365,C18n_QI8626
C18n_QI9190,10.59,468.23699999999997,,,0.036979715,C18-neg,-1.5308759598974362,0.5115261458198859,0.5861638264802647,C18n_QI9190
C18n_QI9115,10.62,465.3221,,,0.047279789,C18-neg,-1.1406896500829828,0.00514487255023255,0.16889507342850685,C18n_QI9115
C18n_QI9838,10.63,487.3198,,,0.109933644,C18-neg,-0.7259195237402096,0.2938812159340216,0.6979933457521152,C18n_QI9838
C18n_QI10137,10.63,497.3487,,,0.029198394,C18-neg,0.4419900984521732,0.5616881035606696,1.0353865103868198,C18n_QI10137
C18n_QI10328,10.63,503.3382,,,0.05627097599999999,C18-neg,-1.4771964936498776,0.1443124197761847,0.6709433274415684,C18n_QI10328
C18n_QI10971,10.63,525.3804,,,0.014993488999999999,C18-neg,-0.3364980607275143,0.4320521734993292,1.0051987843660068,C18n_QI10971
C18n_QI11339,10.63,540.2641,,,0.028239913999999998,C18-neg,0.22075100848635287,-1.2773739911277457,-1.5172228140684414,C18n_QI11339
C18n_QI4359,10.65,315.2545,,,0.017992871,C18-neg,1.7062370390649662,0.2691707991401984,0.8810148911622715,C18n_QI4359
C18n_QI6481,10.65,383.2418,,,0.026291508999999998,C18-neg,-0.7518070130590573,0.4015136145393683,0.8532295899537754,C18n_QI6481
C18n_QI7359,10.65,409.3438,,,0.02899199,C18-neg,-0.7900169282201901,-0.4590398884971307,-0.6304461283537197,C18n_QI7359
C18n_QI12850,10.65,631.3857,,,0.033515698999999996,C18-neg,-1.2526100068334711,0.1250107668678595,0.7222864108232212,C18n_QI12850
C18n_QI8743,10.67,453.3226,,,0.01447488,C18-neg,-0.16700820019284635,0.3910828017036732,1.001764841571207,C18n_QI8743
C18n_QI9654,10.67,482.3284,,,0.030317992999999998,C18-neg,-0.8882558732275143,-0.47890039455487,1.1726653652337742,C18n_QI9654
C18n_QI11297,10.67,538.3531,,,0.053974913,C18-neg,-1.0434730439428463,0.5961811922828986,0.7869275288728428,C18n_QI11297
C18n_QI9317,10.68,471.325,,,0.103980821,C18-neg,-1.1002405076269284,-0.2039391614158319,0.3884679751542759,C18n_QI9317
C18n_QI7292,10.69,408.2527,,,0.019319178,C18-neg,-0.4912670045141354,0.3383081339638068,0.8813912348893833,C18n_QI7292
C18n_QI9631,10.69,481.3538,,,0.021620254,C18-neg,0.7081825346704349,0.2564013384620978,0.7280834393647861,C18n_QI9631
C18n_QI8623,10.71,450.26300000000003,,,0.054178828,C18-neg,-0.3490970521215573,0.4633253001015003,0.29770297576462745,C18n_QI8623
C18n_QI11256,10.71,537.3256,,,0.015567503,C18-neg,2.1544601530786385,0.829165854338866,0.9679225759652804,C18n_QI11256
C18n_QI10763,10.72,519.3326,,,0.043544422,C18-neg,-1.2798784165624753,0.2663348101417853,0.7752524094728184,C18n_QI10763
C18n_QI11713,10.72,555.3353,,,0.028861757000000002,C18-neg,-1.2292650132421628,0.14274338710711731,0.8604295926240635,C18n_QI11713
C18n_QI7864,10.73,425.2913,,,0.025737867999999997,C18-neg,-0.30062846233884244,0.3644745730202015,0.9020107464936924,C18n_QI7864
C18n_QI10352,10.73,504.3699,,,0.019396791,C18-neg,-0.19640807201901825,-0.1244289494712536,-0.025584868893270496,C18n_QI10352
C18n_QI5099,10.74,339.2176,,,0.025553232999999998,C18-neg,-1.1990287690405026,0.7619369410316779,0.13642115165268898,C18n_QI5099
C18n_QI10124,10.74,497.2946,,,0.044000774000000006,C18-neg,0.925066670870386,0.2392058752815558,0.7900648789552402,C18n_QI10124
C18n_QI11709,10.74,555.3,,,0.023654361000000002,C18-neg,-1.3648612885717526,0.5429057263176276,0.04655832816636085,C18n_QI11709
C18n_QI6282,10.75,377.2336,,,0.029299585,C18-neg,-1.4229333787206784,0.3034184359352405,1.0064222293046663,C18n_QI6282
C18n_QI11024,10.75,527.3403,,,0.018866098,C18-neg,-0.7509649186376706,0.5870958946983649,0.9316557722238256,C18n_QI11024
C18n_QI12528,10.75,605.3129,,,0.025232379,C18-neg,-0.8636510758642331,0.4624622248451544,0.3685019688752842,C18n_QI12528
C18n_QI6114,10.76,372.2548,,,0.02860601,C18-neg,-1.2940795808080807,0.0040860556404407325,0.9216416554597568,C18n_QI6114
C18n_QI8236,10.76,437.3501,,,0.033073427999999995,C18-neg,-0.5863759904150143,-0.2044860936362909,-0.6009189410063076,C18n_QI8236
C18n_QI11291,10.76,538.3149,,,0.09770968,C18-neg,-0.03318003704587369,0.5094254397194221,0.061460443034524914,C18n_QI11291
C18n_QI7240,10.77,406.2635,,,0.018869618,C18-neg,-0.05573634197751432,0.5478154801170643,-0.15800636242354393,C18n_QI7240
C18n_QI9489,10.77,477.3585,,,0.033994539,C18-neg,-1.3924425034765378,0.1298427962105091,0.7807760911134434,C18n_QI9489
C18n_QI10752,10.77,519.2508,,,0.088236817,C18-neg,-1.0966365723852292,1.3609397791664437,-2.151151828274374,C18n_QI10752
C18n_QI5349,10.78,347.2229,,,0.019911711999999998,C18-neg,-0.16906622936765106,-0.4161758042533563,0.7648044304994297,C18n_QI5349
C18n_QI6170,10.78,373.2749,,,0.025459815,C18-neg,-0.4720456986669674,0.4333746813576056,0.4309052901414585,C18n_QI6170
C18n_QI7281,10.78,407.3282,,,0.020910876000000002,C18-neg,-0.7242448716406003,0.3619385145942999,0.3382137494233799,C18n_QI7281
C18n_QI8621,10.79,450.2629,,,0.048814511,C18-neg,0.19096680591066928,0.28691700923846497,0.16286832858597755,C18n_QI8621
C18n_QI12104,10.79,577.3746,,,0.04814477599999999,C18-neg,-0.6677682786230221,-0.2924918748099969,-1.1558965964170742,C18n_QI12104
C18n_QI7639,10.8,417.2861,,,0.034611556,C18-neg,-0.6399448304418698,-0.6416024781425165,0.12082607318436622,C18n_QI7639
C18n_QI8242,10.8,438.26300000000003,,,0.013049982,C18-neg,2.829010686373316,0.5382914923469855,0.7927994208482456,C18n_QI8242
C18n_QI10106,10.8,496.2743,,,0.033478539,C18-neg,-0.6542804627660885,0.398585119132262,-0.2551552576872158,C18n_QI10106
C18n_QI10395,10.8,506.2499,,,0.027015462,C18-neg,0.4292666525598392,0.3348110102455433,0.4431775288728428,C18n_QI10395
C18n_QI11298,10.8,538.3531,,,0.019905553,C18-neg,0.4214689345117435,0.11299494731829895,0.02975220252549171,C18n_QI11298
C18n_QI12071,10.8,574.2375,,,0.039704981,C18-neg,-0.6107538132909909,-0.22597952854229675,-0.5214242262693691,C18n_QI12071
C18n_QI10036,10.82,493.3534,,,0.038864034,C18-neg,-1.3932397752050534,0.4718659304420783,0.8463742213395786,C18n_QI10036
C18n_QI9328,10.83,471.3477,,,0.040370542999999995,C18-neg,-1.5948369889501706,0.6585653208534552,0.8485899644044591,C18n_QI9328
C18n_QI13472,10.83,723.3813,,,0.018202226999999998,C18-neg,0.5566951842065677,-0.0071291543204967675,-0.4680349154325771,C18n_QI13472
C18n_QI2954,10.86,269.2124,,,0.025758265,C18-neg,-1.4340122132543698,0.2976792238991077,0.7562617736009312,C18n_QI2954
C18n_QI10432,10.87,507.3154,,,0.038131481,C18-neg,-0.8454187302831784,0.7607344769279791,0.6340052561906528,C18n_QI10432
C18n_QI12352,10.87,593.2723,,,0.053157917,C18-neg,-1.1538579850439206,0.21591142642901676,0.4849708752778721,C18n_QI12352
C18n_QI3734,10.88,295.2279,,,0.0110344,C18-neg,1.754407605623804,0.10345891940997376,0.28214675952469825,C18n_QI3734
C18n_QI5832,10.88,363.2157,,,0.02538955,C18-neg,-0.8146350770239009,0.3213770769874884,0.3531866746095371,C18n_QI5832
C18n_QI10170,10.9,499.3098,,,0.020529876000000002,C18-neg,0.4061886877771244,-0.042949400063292835,0.25676245261704445,C18n_QI10170
C18n_QI10576,10.91,513.289,,,0.022020567,C18-neg,-0.7265508561376706,0.3287845038215931,0.16883105804001808,C18n_QI10576
C18n_QI9451,10.92,476.2785,,,0.037535495,C18-neg,-0.24480132153073694,0.4250615023414923,0.4098197894242954,C18n_QI9451
C18n_QI12500,10.92,603.2971,,,0.025059207000000003,C18-neg,-0.058485785031713526,0.590781845931275,0.8000782208589268,C18n_QI12500
C18n_QI11196,10.93,535.3101,,,0.01676298,C18-neg,3.5917818159814705,0.8525667570869757,1.08537293244874,C18n_QI11196
C18n_QI7238,10.94,406.2601,,,0.025119022,C18-neg,0.2071430296655521,1.0715521954338385,-1.7126092238279629,C18n_QI7238
C18n_QI7642,10.95,417.2861,,,0.072998781,C18-neg,-0.6843526749853268,-0.894108495827453,-0.23032062481368065,C18n_QI7642
C18n_QI9615,10.95,481.3177,,,0.019928676,C18-neg,-0.4943168549780026,-0.2599539376456921,-0.20705049465620995,C18n_QI9615
C18n_QI7693,10.96,419.2806,,,0.02949433,C18-neg,-1.2899825959447997,-0.3471250153739618,0.4000956492570591,C18n_QI7693
C18n_QI11708,10.96,555.2999,,,0.011493857,C18-neg,0.7691480726953372,0.4954831980507191,-0.3158602042051601,C18n_QI11708
C18n_QI9316,10.97,471.3248,,,0.10259284,C18-neg,-0.6642473130468503,-0.3421070195396112,0.5037568287996006,C18n_QI9316
C18n_QI9628,10.97,481.3537,,,0.017199282,C18-neg,1.0352217764612064,0.2029071234505011,0.865482635989542,C18n_QI9628
C18n_QI11842,10.97,564.3306,,,0.022139209,C18-neg,0.0930215925927982,0.3125863455574347,0.5806810336259556,C18n_QI11842
C18n_QI10324,10.99,503.3382,,,0.036058561,C18-neg,-1.5719621567968505,0.4769378088753058,0.9574562387613009,C18n_QI10324
C18n_QI4209,11.01,311.223,,,0.016171309,C18-neg,-0.9340618043188228,0.4971602343361212,0.9375121669915868,C18n_QI4209
C18n_QI8130,11.01,433.3328,,,0.030795813999999998,C18-neg,-1.4583824067358149,0.3703740023414923,0.9264093117860508,C18n_QI8130
C18n_QI8241,11.02,438.26300000000003,,,0.013128396,C18-neg,2.6943966955896244,0.5716669939796759,0.7930474953798008,C18n_QI8241
C18n_QI10394,11.02,506.2499,,,0.025483791000000002,C18-neg,0.2354633421655521,0.4974284552376105,0.6041786151078892,C18n_QI10394
C18n_QI12070,11.02,574.2373,,,0.050417227,C18-neg,-1.2369554429296628,0.3389571093361212,0.4685382323411656,C18n_QI12070
C18n_QI12141,11.02,580.3278,,,0.029471452000000002,C18-neg,-0.5573709397558346,-0.32624455463482605,-0.2387449068876553,C18n_QI12141
C18n_QI7578,11.03,415.2816,,,0.017297458,C18-neg,-0.16613558819333465,0.4298351191322638,0.7902283148912144,C18n_QI7578
C18n_QI6294,11.04,377.2729,,,0.030833417999999998,C18-neg,-0.8305623917822018,0.5092749975960089,0.19341916610276225,C18n_QI6294
C18n_QI9051,11.05,463.3796,,,0.021244747,C18-neg,0.08603306720217319,-0.1257230855186151,0.7620630936769199,C18n_QI9051
C18n_QI9955,11.05,491.3379,,,0.019578123,C18-neg,-1.1425626664404052,0.169184961203797,0.9322928862718296,C18n_QI9955
C18n_QI11539,11.05,549.289,,,0.015317576000000001,C18-neg,0.04336090991457553,1.011828102950318,-0.9393965525480557,C18n_QI11539
C18n_QI12874,11.06,633.3796,,,0.03618537,C18-neg,-1.0781896500829828,0.0873668574135138,0.7445443349031162,C18n_QI12874
C18n_QI6084,11.07,371.2441,,,0.03798395,C18-neg,-1.2142637162450924,0.7145128630440052,-0.31525128315413475,C18n_QI6084
C18n_QI2018,11.08,233.1544,,,0.025621464,C18-neg,-0.6815097718481198,0.5933422230522449,0.4839021639970493,C18n_QI2018
C18n_QI3026,11.08,271.2281,,,0.017607961000000002,C18-neg,2.381293973421656,0.7659047030250861,0.5252993779329014,C18n_QI3026
C18n_QI5096,11.08,339.2155,,,0.026701985,C18-neg,-0.12289599468747525,0.4634259127418829,-0.04106169174635888,C18n_QI5096
C18n_QI6624,11.08,387.2213,,,0.017237706999999998,C18-neg,-0.3416211991552487,-0.3310598946769403,1.3029647545961094,C18n_QI6624
C18n_QI11891,11.08,565.4448,,,0.043786838,C18-neg,-0.7289045243505612,0.2587089918892218,-0.2198430819364834,C18n_QI11891
C18n_QI9486,11.09,477.3584,,,0.034602976,C18-neg,-0.7396085648779049,-0.03890629779888855,0.5535665230897617,C18n_QI9486
C18n_QI13437,11.09,713.3525,,,0.135847135,C18-neg,-0.6371601014379635,0.1264148138801886,-0.0376163048597622,C18n_QI13437
C18n_QI13471,11.09,723.3813,,,0.026462332,C18-neg,1.3355819792505128,0.028162040595276494,0.03059203197037696,C18n_QI13471
C18n_QI9859,11.1,488.3019,,,0.046711628,C18-neg,-0.6553352265600338,0.8586761139671637,-2.7482296748014736,C18n_QI9859
C18n_QI13733,11.1,791.3689999999999,,,0.058892845,C18-neg,-0.9179914384130612,-0.2099701977927868,-0.2965764326902676,C18n_QI13733
C18n_QI9793,11.11,486.2863,,,0.038731392999999996,C18-neg,-0.9162528901342526,1.2496012829582526,-4.0010744852873135,C18n_QI9793
C18n_QI10721,11.11,517.3533,,,0.039779512,C18-neg,-1.4849737077001706,0.3716540716926886,0.867756314769144,C18n_QI10721
C18n_QI4500,11.12,319.2127,,,0.038241288,C18-neg,-1.1276252656225338,0.31919864643023743,0.9071279244569492,C18n_QI4500
C18n_QI9329,11.12,471.3482,,,0.02252432,C18-neg,1.0161664099450929,0.8256727837364508,1.2264314966348362,C18n_QI9329
C18n_QI11321,11.12,539.3379,,,0.037798206,C18-neg,-0.5241725831274167,0.3635754965584113,0.7764749007371616,C18n_QI11321
C18n_QI3775,11.14,297.1532,,,0.015910988,C18-neg,0.05412217090090365,0.7050495528023077,0.6372641997483921,C18n_QI3775
C18n_QI8137,11.14,434.2678,,,0.021535908,C18-neg,0.25197907397707553,0.20695976245806946,0.5422855096009922,C18n_QI8137
C18n_QI8397,11.14,443.2782,,,0.038839099,C18-neg,-1.3765466599706784,0.4830866240303351,0.9302850442079258,C18n_QI8397
C18n_QI10539,11.14,511.3258,,,0.023031559,C18-neg,0.6073700995202884,0.9782612704078986,-1.7704741282316494,C18n_QI10539
C18n_QI12143,11.14,580.3279,,,0.035052515,C18-neg,-0.3797185807470456,0.16112402904437315,0.3860897498277378,C18n_QI12143
C18n_QI7773,11.15,422.2681,,,0.01739268,C18-neg,0.09261341998537632,0.26734975803302063,1.307752378478403,C18n_QI7773
C18n_QI9452,11.15,476.2785,,,0.019524074,C18-neg,1.7810818762536869,0.4303863428871466,0.5762581305650425,C18n_QI9452
C18n_QI10204,11.15,500.2786,,,0.027715202999999997,C18-neg,-0.4519555955175534,0.6803894423286749,-0.4161130709501553,C18n_QI10204
C18n_QI11456,11.15,544.2657,,,0.047218274000000005,C18-neg,-1.2041662125829828,0.4606614493172003,0.4623366074708653,C18n_QI11456
C18n_QI13593,11.15,751.5889,,,0.048742752,C18-neg,-0.9401128678564206,0.20010689723895325,1.204971321120615,C18n_QI13593
C18n_QI11592,11.16,551.3045,,,0.046996625,C18-neg,-1.2048671632055417,0.6877818487922962,1.0135026054528904,C18n_QI11592
C18n_QI7856,11.17,425.291,,,0.033114798,C18-neg,-1.3698699860815182,0.2106593035499884,0.8361296134141636,C18n_QI7856
C18n_QI7579,11.2,415.2817,,,0.021848195,C18-neg,1.5005962462182865,0.6321038388054188,1.0650088863519382,C18n_QI7579
C18n_QI9680,11.2,483.2692,,,0.046209571,C18-neg,-1.3567417054418698,0.5086999319832161,0.5614642577317905,C18n_QI9680
C18n_QI9957,11.2,491.338,,,0.034128538,C18-neg,-0.954511442685522,-0.04966755878521667,0.6041972117570591,C18n_QI9957
C18n_QI10345,11.2,504.3099,,,0.034473275,C18-neg,-0.5223672776464596,0.2040837191383673,0.2349417882112217,C18n_QI10345
C18n_QI11679,11.2,554.3018,,,0.139843067,C18-neg,-0.4613349824194089,0.42007235515521296,0.4807081895021153,C18n_QI11679
C18n_QI11843,11.2,564.3306,,,0.022094675,C18-neg,2.2737881750818123,0.4899864577095343,0.6572986321595861,C18n_QI11843
C18n_QI12118,11.2,578.346,,,0.05018563,C18-neg,-1.1974180131200924,0.16963318813250794,0.4574913458970738,C18n_QI12118
C18n_QI12864,11.2,632.318,,,0.034614069,C18-neg,-0.5319888978246823,0.5693971298973395,0.565772958293314,C18n_QI12864
C18n_QI13824,11.2,814.5612,,,0.038358444,C18-neg,-0.004433432126440096,-0.189660034294862,0.5351410584596348,C18n_QI13824
C18n_QI13890,11.2,831.5713,,,0.103208695,C18-neg,-1.4121168046239987,-0.5881611920554803,0.7428824381974888,C18n_QI13890
C18n_QI1739,11.21,221.1542,,,0.035387374,C18-neg,-0.8916681199316159,0.501938619498473,0.2788420395997715,C18n_QI1739
C18n_QI3732,11.21,295.2279,,,0.017998933,C18-neg,2.104195317720972,0.5638126515190436,0.7945697980073643,C18n_QI3732
C18n_QI9487,11.22,477.3584,,,0.045377387000000005,C18-neg,-1.3956134705785883,0.1814754389564808,0.818642921939249,C18n_QI9487
C18n_QI9643,11.23,482.2525,,,0.106483491,C18-neg,-0.96799544384519,0.385322131995423,0.5770658927110386,C18n_QI9643
C18n_QI10048,11.25,494.2526,,,0.035173026,C18-neg,-0.9693506150488034,0.8392582320015265,-0.26002924869978905,C18n_QI10048
C18n_QI11775,11.25,559.3116,,,0.051011949,C18-neg,-0.9621646790746824,0.08846215236590638,-1.0425974650236416,C18n_QI11775
C18n_QI5829,11.26,363.2156,,,0.028721072,C18-neg,-0.5215833573583737,0.5466901444237049,0.7083637194780064,C18n_QI5829
C18n_QI6492,11.26,383.32800000000003,,,0.023073275,C18-neg,-0.4828899293188229,0.497332849387389,0.6861309485582066,C18n_QI6492
C18n_QI8054,11.26,431.3166,,,0.039550025,C18-neg,-1.5376785187963617,0.31723383891986145,0.7320219950822544,C18n_QI8054
C18n_QI12317,11.29,591.3187,,,0.03486285,C18-neg,-1.0817602067236078,-0.4745773888786005,1.0928165393022249,C18n_QI12317
C18n_QI13197,11.29,671.5255,,,0.046742359000000004,C18-neg,-1.2104719071630612,-0.6853992558677362,0.43779034186875343,C18n_QI13197
C18n_QI7181,11.3,404.2448,,,0.049323804000000006,C18-neg,-1.517398634457983,0.9682410143654164,-0.7041606230589199,C18n_QI7181
C18n_QI8741,11.3,453.3225,,,0.027707483999999998,C18-neg,-1.0598924546484128,0.3351779364387806,1.0531131701615999,C18n_QI8741
C18n_QI9557,11.3,479.338,,,0.009660262,C18-neg,0.9166524023767336,0.5518339060585333,1.1951264219430635,C18n_QI9557
C18n_QI9637,11.3,481.3544,,,0.03991631,C18-neg,-1.1103647141698971,0.12875751483844056,0.6958158688691807,C18n_QI9637
C18n_QI10381,11.3,505.3538,,,0.012932533999999999,C18-neg,0.5604593367334232,0.39110092151568665,0.9895926790384006,C18n_QI10381
C18n_QI10847,11.3,521.3480000000001,,,0.029954347000000003,C18-neg,-0.931096830869116,0.4300339602272345,1.0164671020654392,C18n_QI10847
C18n_QI10968,11.3,525.3801,,,0.019651058,C18-neg,-0.2709558396581784,0.16292575824664368,0.8015739398149204,C18n_QI10968
C18n_QI10986,11.3,526.3163,,,0.038261586,C18-neg,-0.98475626995603,0.5312762640755011,-1.9542660040708828,C18n_QI10986
